Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST Ticks HTTP Request,100000,83,3,1026,41.69,0.000%,119.20486,14.09,27.27,121.0
TOTAL,100000,83,3,1026,41.69,0.000%,119.20486,14.09,27.27,121.0
