Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST Ticks HTTP Request,10000,61,52,123,152,218,4,337,0.000%,155.56938,18.38,35.59
TOTAL,10000,61,52,123,152,218,4,337,0.000%,155.56938,18.38,35.59
