Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST Ticks HTTP Request,100000,82,76,133,158,219,7,1946,0.000%,117.09780,13.84,26.78
TOTAL,100000,82,76,133,158,219,7,1946,0.000%,117.09780,13.84,26.78
