Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST Ticks HTTP Request,1000,17,11,34,61,122,4,173,0.000%,381.09756,44.92,87.19
TOTAL,1000,17,11,34,61,122,4,173,0.000%,381.09756,44.92,87.19
