Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST Ticks HTTP Request,1000,10,2,377,18.82,0.000%,581.39535,68.70,133.01,121.0
TOTAL,1000,10,2,377,18.82,0.000%,581.39535,68.70,133.01,121.0
